dbname,seqno,query,exec_time,perf_dev,dev_pcnt,perf_stts,rss,avgrss,vsz,memory,llc_hit,llc_hitm,llc_miss,llc_lookup_stat,llc_hitm_stat,llc_hit_stat,llc_miss_stat,maxrss,avgrss,maxwss,avgrss,ref,maxrss_s,avgrss_s,maxref_s,avgref_s
"SF-100",0,"q11",21.09,0.00,0.00%,0,2511348,1595910,5162184,100,42847,2706,4713,37720869,592459,4213052,4213052,2446.36,1365.7409411764706,2441.96,1361.3471764705882,2187.31,2508.01,1325.6720512820514,651.48,60.404487179487184
"SF-100",0,"q12",2098.30,0.00,0.00%,0,7537868,3079808,15906444,100,132860,10993,12265,18644061,1150383,5067116,5067116,9410.95,5227.50365497076,9406.52,5223.010438596491,9083.11,9274.79,5261.120819112628,804.68,58.728907849829355
"SF-100",0,"q13",1382.59,0.00,0.00%,0,15879156,7581330,18368356,100,1424464,298970,417153,362433768,288245943,16498266,16498266,15345.02,6529.028810483871,15340.41,6524.598165322581,15014.81,15344.95,6211.069305210918,2114.34,225.52724565756824
"SF-100",0,"q14",4327.88,0.00,0.00%,0,5971112,3178970,17299180,100,213320,17070,17889,21516633,1921160,12574637,12574637,6824.95,3535.02390625,6820.78,3530.8317633928573,6502.5,7292.77,3606.0209217877095,401.27,43.5604469273743
"SF-100",0,"q15",3546.39,0.00,0.00%,0,8208092,6104050,24289328,100,174252,11670,23172,99199877,2408467,16610793,16610793,8170.12,4283.271435406698,8165.89,4278.984138755981,7843.96,8114.83,4090.192492917847,656.78,51.49963172804532
"SF-100",0,"q16",15287.42,0.00,0.00%,0,3683004,2301450,5069356,100,229993,8453,37576,89646676,1148069,1596269,1596269,3532.53,1872.4041747572815,3528.27,1868.076990291262,3148.42,3518.27,1786.6425873916128,997.7,2.9886120957626656
"SF-100",0,"q17",11840.09,0.00,0.00%,0,8412200,1014290,15093408,100,361868,13071,26475,324585252,593099,4871904,4871904,8274.72,3119.4945566502465,8270.09,3115.00460591133,7952.0,8018.3,3102.272921686747,1106.2,40.462740963855424
"SF-100",0,"q18",118629.25,0.00,0.00%,0,19274700,9609690,30530476,100,1308535,104902,166540,71658640,4815418,1865191,1865191,21738.07,10709.800913907286,21733.82,10705.508185430463,21408.14,21372.93,10206.139264448337,3097.15,101.5322942206655
"SF-100",0,"q19",8419.61,0.00,0.00%,0,8919264,8050700,22232028,100,309690,14598,26431,56260745,1948286,10272277,10272277,9165.1,5492.496755162242,9160.7,5488.2328613569325,8840.66,9099.55,4638.227756653992,620.91,61.35669201520913
"SF-100",0,"q20",9.27,0.00,0.00%,0,9219124,7525730,18088256,100,542657,27604,57404,280948993,2177695,16251394,16251394,9010.09,2630.4706382978725,9005.67,2626.021134751773,8684.41,10704.91,1488.9270484414396,700.48,2.8933371265368053
"SF-100",0,"q21",7.39,0.00,0.00%,0,24671152,20566000,31453936,100,1068826,56236,142573,667189194,6022410,41873573,41873573,24452.85,14670.825945419103,24448.63,14666.553352826511,24125.35,8163.93,4331.709725274725,628.42,233.37642857142856
"SF-100",0,"q22",7.39,0.00,0.00%,0,2767264,1576530,4200640,100,285129,5064,28000,230891743,446039,58210062,58210062,2719.82,1450.898961038961,2715.37,1446.4672727272728,2336.45,1204.29,746.6530357142857,320.02,34.43232142857143
